sample.point,mortality.class,tsca.alive,tsca.dead,tsca.total,acpe,acru,acsa,beal,bele,bepa,caov,fagr,frpe,piri,pist,prse,qual,qupr,quru,quve,saal,total.ba
P37,Hi-A,11,23,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,9,0,48
P69,Hi-A,0,11,11,0,0,0,0,23,0,0,0,0,0,0,0,0,0,2,0,0,37
P70,Hi-A,0,23,23,0,0,0,0,14,0,0,0,0,0,0,0,2,0,2,0,0,41
P184,Hi-B,2,34,37,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,46
P187,Hi-B,0,21,21,0,7,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,30
P188,Hi-B,5,30,34,0,5,0,0,2,0,0,0,2,2,0,0,2,0,0,0,0,44
P189,Hi-B,2,23,25,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,30
P195,Hi-B,0,30,30,0,2,0,0,0,0,0,0,0,0,0,0,2,0,5,2,0,39
P196,Hi-B,0,23,23,0,5,0,0,7,0,0,2,0,0,0,0,0,0,2,0,0,34
P197,Hi-B,0,28,28,0,2,0,0,0,0,0,0,0,0,0,0,5,0,2,5,0,39
P703,Low,37,0,37,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,44
P704,Low,10,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,17
P705,Low,39,0,39,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,55
P706,Low,39,0,39,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,44
P707,Hi-B,18,0,18,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,37
P708,Low,11,0,11,0,2,0,0,9,0,0,5,0,0,0,2,0,0,0,0,0,28
P710,Hi-B,0,23,23,0,5,0,0,0,0,0,0,0,0,0,0,2,0,2,7,0,35
P711,Low,25,0,25,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,32
P712, Low,28,0,28,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29
P713,Med,16,2,18,0,7,0,0,0,0,0,0,5,0,0,0,0,0,7,2,0,32
P714,Med,16,2,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,2,0,28
P715,Med,14,2,16,0,2,0,0,2,0,0,0,0,0,0,0,7,0,5,0,0,30
P716,Med,11,5,16,0,2,0,0,5,0,0,0,2,0,0,0,5,0,0,0,0,28
P717,Med,23,16,39,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
P718,Med,21,5,25,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,28
P719,Hi-A,9,21,30,0,9,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,41
P720,Med,14,14,28,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,32
P721,Hi-A,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,2,0,30
P723,Med,11,11,23,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,30
P724,Hi-A,2,16,18,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,28
P725,Hi-B,5,18,23,0,5,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,30
P727,Hi-A,2,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,32
P728,Hi-A,7,28,34,0,7,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,41
P730,Hi-B,0,21,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,28
P734,Hi-A,2,18,21,0,18,0,0,0,0,0,2,0,0,2,0,0,0,0,11,0,37
P735,Hi-A,2,7,9,0,5,0,0,0,0,0,2,0,2,0,0,0,0,5,0,0,18
P736,Low,18,0,18,2,0,0,2,2,0,5,0,0,0,0,0,2,0,0,0,0,28
P737,Low,28,0,28,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,32
P739,Low,23,0,23,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,25
P740,Low,21,0,21,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23
