sample.point,mortality.class,tsca,acpe,acru,acsa,acsa2,bele,fagr,frpe,litu,pist,qual,qupr,quru,quve,saal,fern.cover,laurel.cover,birch.height
P37,Hi-A,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0
P69,Hi-A,1250,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,17,14,0
P70,Hi-A,0,0,2500,0,0,5000,0,0,0,0,0,0,0,0,0,3,4,0.1
P184,Hi-B,0,0,8750,0,0,32500,0,0,0,0,0,0,0,0,2500,0,5.5,1.3
P187,Hi-B,1250,0,20000,0,0,66250,0,0,0,0,1250,0,0,0,0,35,0,0.8
P188,Hi-B,0,0,31250,0,0,45000,2500,1250,1250,0,0,0,0,0,0,50.5,0,0.83
P189,Hi-B,0,0,8750,0,0,20000,0,0,0,0,0,5000,0,0,1250,0,14.5,2.37
P195,Hi-B,0,0,2500,0,0,112500,0,0,0,0,0,0,0,1250,0,0,0,1.38
P196,Hi-B,0,0,46250,0,0,51250,0,0,0,0,0,0,0,0,0,8.5,0,0.78
P197,Hi-B,0,0,22500,0,0,57500,0,0,0,0,0,0,0,2500,0,0,0,1.63
P703,Low,15000,0,0,0,0,2500,0,0,0,1250,0,0,0,0,0,1.5,0,0.1
P704,Low,5000,0,1250,3750,0,0,0,0,0,0,2500,1250,0,0,0,6.5,0,0
P705,Low,12500,0,0,0,0,0,7500,0,0,0,0,0,0,0,0,0,0,0.1
P706,Low,0,0,17500,0,0,13750,0,0,0,0,0,0,0,0,0,12.5,0,0.1
P707,Hi-B,1250,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,14.5,37.5,0
P708,Low,0,0,6250,0,0,0,6250,0,0,0,0,0,0,0,0,25,0,0
P710,Hi-B,0,0,16250,0,0,62500,0,0,0,0,0,0,0,2500,0,0,0,1.75
P711,Low,21250,0,1250,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0.1
P712, Low,5000,0,1250,0,0,0,1250,0,0,0,0,7500,0,0,0,0,0,0
P713,Med,5000,0,0,0,0,0,2500,0,0,0,0,0,1250,0,0,0,0,0
P714,Med,5000,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,7.5,0
P715,Med,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P716,Med,2500,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P717,Med,0,0,3750,0,0,20000,0,0,0,1250,0,0,0,2500,1250,0,0,0.2
P718,Med,0,0,6250,3750,1250,0,5000,0,0,0,0,0,0,0,0,0,0,0
P719,Hi-A,0,0,18750,0,0,0,2500,0,0,0,0,0,0,0,0,15.5,0,0
P720,Med,1250,0,7500,0,0,0,2500,0,0,0,0,0,0,0,0,39,0,0
P721,Hi-A,0,0,5000,0,0,5000,0,0,0,0,0,5000,5000,1250,1250,0,0,0.1
P723,Med,0,0,7500,0,0,16250,0,0,0,0,0,0,0,0,0,28.5,0,0.3
P724,Hi-A,1250,0,6250,0,0,2500,0,0,0,0,0,0,1250,0,0,2.5,20.5,0.1
P725,Hi-B,0,0,5000,0,0,38750,1250,0,3750,0,0,0,0,0,1250,19,0,0.45
P727,Hi-A,0,0,6250,0,0,3750,0,0,0,0,0,1250,6250,0,3750,0,3,0.1
P728,Hi-A,2500,0,3750,0,0,11250,0,0,0,0,0,0,0,1250,2500,0,8.5,0.4
P730,Hi-B,0,0,2500,0,0,30000,0,0,0,1250,0,0,0,1250,0,0,4.5,0
P734,Hi-A,0,0,3750,0,0,12500,1250,0,0,7500,0,0,0,0,5000,0,26.5,0.1
P735,Hi-A,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,18,48,0
P736,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P737,Low,0,0,0,0,0,0,1250,0,0,0,0,0,1250,0,0,0,0,0
P739,Low,3750,0,1250,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0
P740,Low,6250,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,8,0
